"Average Price","Average Price"
"below average.","below average."
"below average","below average"
"Disable all price rule","Disable all price rule"
"Enable","Enable"
"Error","Error"
"from the cost price.","from the cost price."
"Highest Price","Highest Price"
"Lowest Price","Lowest Price"
"Minimum margin of","Minimum margin of"
"of lowest prices.","of lowest prices."
"Price","Price"
"Price Difference","Price Difference"
"Price Information","Price Information"
"Pricemotion EAN","Pricemotion EAN"
"Pricemotion name","Pricemotion name"
"PriceMotion Price Rules","PriceMotion Price Rules"
"PriceMotion Prices","PriceMotion Prices"
"Prices","Prices"
"Service not available","Service not available"
"The price is always","The price is always"
"The price is always in top","The price is always in top"
"Vendor","Vendor"
"Cron Started","Cron Started"
"Loaded %s rules","Loaded %s rules"
"Product ID","Product ID"
"Product name","Product name"
"Rule type","Rule type"
"Old price","Old price"
"New price","New price"
"in top","in top"
"Pricemotion data could not be loaded","Pricemotion data could not be loaded"
"PriceMotion Cron Report:","PriceMotion Cron Report:"
